image_name,image_path,identity,split,identity_type
094456.jpg,celeba_subset/img_align_celeba/094456.jpg,8,enrollment,enrolled
089454.jpg,celeba_subset/img_align_celeba/089454.jpg,8,genuine_test,enrolled
061852.jpg,celeba_subset/img_align_celeba/061852.jpg,8,genuine_test,enrolled
160984.jpg,celeba_subset/img_align_celeba/160984.jpg,8,genuine_test,enrolled
108789.jpg,celeba_subset/img_align_celeba/108789.jpg,8,genuine_test,enrolled
041283.jpg,celeba_subset/img_align_celeba/041283.jpg,8,genuine_test,enrolled
039238.jpg,celeba_subset/img_align_celeba/039238.jpg,8,impostor_pool,enrolled
078965.jpg,celeba_subset/img_align_celeba/078965.jpg,8,impostor_pool,enrolled
094177.jpg,celeba_subset/img_align_celeba/094177.jpg,8,impostor_pool,enrolled
134907.jpg,celeba_subset/img_align_celeba/134907.jpg,8,impostor_pool,enrolled
080188.jpg,celeba_subset/img_align_celeba/080188.jpg,8,impostor_pool,enrolled
100773.jpg,celeba_subset/img_align_celeba/100773.jpg,8,impostor_pool,enrolled
011578.jpg,celeba_subset/img_align_celeba/011578.jpg,8,impostor_pool,enrolled
092361.jpg,celeba_subset/img_align_celeba/092361.jpg,8,impostor_pool,enrolled
137740.jpg,celeba_subset/img_align_celeba/137740.jpg,8,impostor_pool,enrolled
092216.jpg,celeba_subset/img_align_celeba/092216.jpg,8,impostor_pool,enrolled
025789.jpg,celeba_subset/img_align_celeba/025789.jpg,8,impostor_pool,enrolled
098549.jpg,celeba_subset/img_align_celeba/098549.jpg,8,impostor_pool,enrolled
157894.jpg,celeba_subset/img_align_celeba/157894.jpg,8,impostor_pool,enrolled
033292.jpg,celeba_subset/img_align_celeba/033292.jpg,8,impostor_pool,enrolled
121279.jpg,celeba_subset/img_align_celeba/121279.jpg,8,impostor_pool,enrolled
043362.jpg,celeba_subset/img_align_celeba/043362.jpg,8,impostor_pool,enrolled
051799.jpg,celeba_subset/img_align_celeba/051799.jpg,8,impostor_pool,enrolled
003089.jpg,celeba_subset/img_align_celeba/003089.jpg,8,impostor_pool,enrolled
031949.jpg,celeba_subset/img_align_celeba/031949.jpg,8,impostor_pool,enrolled
121009.jpg,celeba_subset/img_align_celeba/121009.jpg,8,impostor_pool,enrolled
163345.jpg,celeba_subset/img_align_celeba/163345.jpg,190,enrollment,enrolled
178718.jpg,celeba_subset/img_align_celeba/178718.jpg,190,genuine_test,enrolled
172058.jpg,celeba_subset/img_align_celeba/172058.jpg,190,genuine_test,enrolled
166478.jpg,celeba_subset/img_align_celeba/166478.jpg,190,genuine_test,enrolled
178123.jpg,celeba_subset/img_align_celeba/178123.jpg,190,genuine_test,enrolled
175000.jpg,celeba_subset/img_align_celeba/175000.jpg,190,genuine_test,enrolled
175087.jpg,celeba_subset/img_align_celeba/175087.jpg,190,impostor_pool,enrolled
181731.jpg,celeba_subset/img_align_celeba/181731.jpg,190,impostor_pool,enrolled
177735.jpg,celeba_subset/img_align_celeba/177735.jpg,190,impostor_pool,enrolled
170685.jpg,celeba_subset/img_align_celeba/170685.jpg,190,impostor_pool,enrolled
171631.jpg,celeba_subset/img_align_celeba/171631.jpg,190,impostor_pool,enrolled
180809.jpg,celeba_subset/img_align_celeba/180809.jpg,190,impostor_pool,enrolled
173366.jpg,celeba_subset/img_align_celeba/173366.jpg,190,impostor_pool,enrolled
177578.jpg,celeba_subset/img_align_celeba/177578.jpg,190,impostor_pool,enrolled
162991.jpg,celeba_subset/img_align_celeba/162991.jpg,190,impostor_pool,enrolled
163527.jpg,celeba_subset/img_align_celeba/163527.jpg,190,impostor_pool,enrolled
178570.jpg,celeba_subset/img_align_celeba/178570.jpg,190,impostor_pool,enrolled
165906.jpg,celeba_subset/img_align_celeba/165906.jpg,190,impostor_pool,enrolled
165258.jpg,celeba_subset/img_align_celeba/165258.jpg,190,impostor_pool,enrolled
170529.jpg,celeba_subset/img_align_celeba/170529.jpg,190,impostor_pool,enrolled
171574.jpg,celeba_subset/img_align_celeba/171574.jpg,190,impostor_pool,enrolled
172138.jpg,celeba_subset/img_align_celeba/172138.jpg,190,impostor_pool,enrolled
180796.jpg,celeba_subset/img_align_celeba/180796.jpg,190,impostor_pool,enrolled
165673.jpg,celeba_subset/img_align_celeba/165673.jpg,190,impostor_pool,enrolled
180819.jpg,celeba_subset/img_align_celeba/180819.jpg,190,impostor_pool,enrolled
162843.jpg,celeba_subset/img_align_celeba/162843.jpg,190,impostor_pool,enrolled
180979.jpg,celeba_subset/img_align_celeba/180979.jpg,190,impostor_pool,enrolled
000384.jpg,celeba_subset/img_align_celeba/000384.jpg,310,enrollment,enrolled
160891.jpg,celeba_subset/img_align_celeba/160891.jpg,310,genuine_test,enrolled
038186.jpg,celeba_subset/img_align_celeba/038186.jpg,310,genuine_test,enrolled
083498.jpg,celeba_subset/img_align_celeba/083498.jpg,310,genuine_test,enrolled
069191.jpg,celeba_subset/img_align_celeba/069191.jpg,310,genuine_test,enrolled
083754.jpg,celeba_subset/img_align_celeba/083754.jpg,310,impostor_pool,enrolled
155643.jpg,celeba_subset/img_align_celeba/155643.jpg,310,impostor_pool,enrolled
158983.jpg,celeba_subset/img_align_celeba/158983.jpg,310,impostor_pool,enrolled
133397.jpg,celeba_subset/img_align_celeba/133397.jpg,310,impostor_pool,enrolled
131034.jpg,celeba_subset/img_align_celeba/131034.jpg,310,impostor_pool,enrolled
136280.jpg,celeba_subset/img_align_celeba/136280.jpg,310,impostor_pool,enrolled
031610.jpg,celeba_subset/img_align_celeba/031610.jpg,310,impostor_pool,enrolled
115638.jpg,celeba_subset/img_align_celeba/115638.jpg,310,impostor_pool,enrolled
029303.jpg,celeba_subset/img_align_celeba/029303.jpg,310,impostor_pool,enrolled
094178.jpg,celeba_subset/img_align_celeba/094178.jpg,310,impostor_pool,enrolled
009101.jpg,celeba_subset/img_align_celeba/009101.jpg,310,impostor_pool,enrolled
