index,image_name,image_path,true_identity,claimed_identity,attempt_type,score,threshold,predicted_match,enrollment_image_path
191,178457.jpg,celeba_subset/img_align_celeba/178457.jpg,4069,5872,impostor,0.3869823232114852,0.1443,1,celeba_subset/img_align_celeba/190011.jpg
132,086203.jpg,celeba_subset/img_align_celeba/086203.jpg,644,1149,impostor,0.3491855184330618,0.1443,1,celeba_subset/img_align_celeba/032759.jpg
402,193173.jpg,celeba_subset/img_align_celeba/193173.jpg,8415,9828,impostor,0.24925894510322183,0.1443,1,celeba_subset/img_align_celeba/033658.jpg
114,010594.jpg,celeba_subset/img_align_celeba/010594.jpg,7222,7253,impostor,0.2459117026074949,0.1443,1,celeba_subset/img_align_celeba/041303.jpg
505,ks3.jpg,test_photos/ks3.jpg,90003,90001,impostor,0.24353667696781808,0.1443,1,test_photos/tr1.jpg
254,086581.jpg,celeba_subset/img_align_celeba/086581.jpg,5210,9093,impostor,0.24331436327474795,0.1443,1,celeba_subset/img_align_celeba/016306.jpg
200,108589.jpg,celeba_subset/img_align_celeba/108589.jpg,5210,1104,impostor,0.2292319176109942,0.1443,1,celeba_subset/img_align_celeba/015716.jpg
106,107040.jpg,celeba_subset/img_align_celeba/107040.jpg,2814,2177,impostor,0.22389673925014186,0.1443,1,celeba_subset/img_align_celeba/168857.jpg
275,130620.jpg,celeba_subset/img_align_celeba/130620.jpg,5672,2177,impostor,0.2226842696849864,0.1443,1,celeba_subset/img_align_celeba/168857.jpg
436,155809.jpg,celeba_subset/img_align_celeba/155809.jpg,9828,7088,impostor,0.2216359418714021,0.1443,1,celeba_subset/img_align_celeba/199824.jpg
126,031727.jpg,celeba_subset/img_align_celeba/031727.jpg,8748,1167,impostor,0.2215019450801095,0.1443,1,celeba_subset/img_align_celeba/067534.jpg
215,028909.jpg,celeba_subset/img_align_celeba/028909.jpg,5656,8091,impostor,0.20002686165740388,0.1443,1,celeba_subset/img_align_celeba/121078.jpg
454,039410.jpg,celeba_subset/img_align_celeba/039410.jpg,494,7524,impostor,0.19625194605763183,0.1443,1,celeba_subset/img_align_celeba/000639.jpg
212,107478.jpg,celeba_subset/img_align_celeba/107478.jpg,8971,9300,impostor,0.19600063543920165,0.1443,1,celeba_subset/img_align_celeba/152900.jpg
415,194818.jpg,celeba_subset/img_align_celeba/194818.jpg,8027,6719,impostor,0.1959294124927804,0.1443,1,celeba_subset/img_align_celeba/040216.jpg
435,172977.jpg,celeba_subset/img_align_celeba/172977.jpg,3236,4870,impostor,0.19508828562967676,0.1443,1,celeba_subset/img_align_celeba/043908.jpg
289,122195.jpg,celeba_subset/img_align_celeba/122195.jpg,7422,7253,impostor,0.19343332064364535,0.1443,1,celeba_subset/img_align_celeba/041303.jpg
306,059289.jpg,celeba_subset/img_align_celeba/059289.jpg,1149,2814,impostor,0.18871502310076652,0.1443,1,celeba_subset/img_align_celeba/082803.jpg
193,048423.jpg,celeba_subset/img_align_celeba/048423.jpg,5238,1350,impostor,0.18841066514781693,0.1443,1,celeba_subset/img_align_celeba/180933.jpg
183,030591.jpg,celeba_subset/img_align_celeba/030591.jpg,7524,6277,impostor,0.1826667723969561,0.1443,1,celeba_subset/img_align_celeba/110929.jpg
299,153967.jpg,celeba_subset/img_align_celeba/153967.jpg,4968,8936,impostor,0.18257206973186416,0.1443,1,celeba_subset/img_align_celeba/185668.jpg
168,145253.jpg,celeba_subset/img_align_celeba/145253.jpg,5127,7088,impostor,0.17758374345735295,0.1443,1,celeba_subset/img_align_celeba/199824.jpg
390,180898.jpg,celeba_subset/img_align_celeba/180898.jpg,2177,6456,impostor,0.1752000134403947,0.1443,1,celeba_subset/img_align_celeba/014548.jpg
208,160727.jpg,celeba_subset/img_align_celeba/160727.jpg,6136,5780,impostor,0.17124872650118034,0.1443,1,celeba_subset/img_align_celeba/006575.jpg
491,024769.jpg,celeba_subset/img_align_celeba/024769.jpg,9939,494,impostor,0.16961958587503342,0.1443,1,celeba_subset/img_align_celeba/020805.jpg
108,154712.jpg,celeba_subset/img_align_celeba/154712.jpg,5190,5437,impostor,0.16462593870795889,0.1443,1,celeba_subset/img_align_celeba/130882.jpg
12,162342.jpg,celeba_subset/img_align_celeba/162342.jpg,5534,1128,impostor,0.1621848619831278,0.1443,1,celeba_subset/img_align_celeba/057492.jpg
164,153415.jpg,celeba_subset/img_align_celeba/153415.jpg,3336,5190,impostor,0.15806326866067713,0.1443,1,celeba_subset/img_align_celeba/123276.jpg
90,085060.jpg,celeba_subset/img_align_celeba/085060.jpg,9000,5780,impostor,0.15440752752527478,0.1443,1,celeba_subset/img_align_celeba/006575.jpg
70,199956.jpg,celeba_subset/img_align_celeba/199956.jpg,8936,8091,impostor,0.1512983027258987,0.1443,1,celeba_subset/img_align_celeba/121078.jpg
407,098865.jpg,celeba_subset/img_align_celeba/098865.jpg,1167,8834,impostor,0.14904052450642444,0.1443,1,celeba_subset/img_align_celeba/010150.jpg
75,033933.jpg,celeba_subset/img_align_celeba/033933.jpg,5437,5656,impostor,0.14613969271388844,0.1443,1,celeba_subset/img_align_celeba/049175.jpg
