score,genuine
3.390596114759215629e-01,1.000000000000000000e+00
4.392016066543865116e-01,1.000000000000000000e+00
1.773151375367631455e-01,0.000000000000000000e+00
5.093703837928318379e-01,1.000000000000000000e+00
7.558802732597343088e-02,1.000000000000000000e+00
4.257385379988006813e-01,1.000000000000000000e+00
2.441621245410495467e-01,0.000000000000000000e+00
-2.642887399575757218e-02,0.000000000000000000e+00
5.308898756589294221e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
6.411987380450817620e-02,0.000000000000000000e+00
5.983511149216970137e-01,1.000000000000000000e+00
9.264438758949140873e-02,0.000000000000000000e+00
4.668541917457119661e-01,1.000000000000000000e+00
5.707190817491688550e-01,1.000000000000000000e+00
9.333724785795877166e-02,0.000000000000000000e+00
1.823368796917470766e-02,0.000000000000000000e+00
-5.181133023948929217e-02,0.000000000000000000e+00
-5.779621521452393829e-02,0.000000000000000000e+00
2.182102406880346568e-01,1.000000000000000000e+00
6.475309894919230314e-02,0.000000000000000000e+00
3.234169381149097355e-01,1.000000000000000000e+00
5.221483535562153611e-01,1.000000000000000000e+00
6.073329836329466325e-01,1.000000000000000000e+00
6.269164098267039353e-01,1.000000000000000000e+00
6.817876946700310303e-02,0.000000000000000000e+00
4.928446383824371113e-02,0.000000000000000000e+00
1.401177986055418268e-01,0.000000000000000000e+00
4.013709470166587079e-01,1.000000000000000000e+00
5.465483077921090560e-01,1.000000000000000000e+00
4.694287573890430498e-01,1.000000000000000000e+00
6.111192855700019189e-02,0.000000000000000000e+00
1.047619452970985007e-02,0.000000000000000000e+00
5.462536141159535230e-01,1.000000000000000000e+00
5.020722284209470088e-01,1.000000000000000000e+00
-5.052092181817731398e-02,0.000000000000000000e+00
3.403927050126985265e-01,1.000000000000000000e+00
6.931753543667720785e-02,0.000000000000000000e+00
2.764376502328704799e-01,1.000000000000000000e+00
4.634062928981987906e-01,1.000000000000000000e+00
6.472655340611178643e-01,1.000000000000000000e+00
4.510483425310765626e-01,1.000000000000000000e+00
5.979430771949112433e-02,0.000000000000000000e+00
9.458622996160878649e-02,0.000000000000000000e+00
5.567116652320528436e-01,1.000000000000000000e+00
9.291997946479410228e-03,0.000000000000000000e+00
1.250378668788836856e-01,0.000000000000000000e+00
2.875119196445655168e-01,1.000000000000000000e+00
1.651709069051285617e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-4.892659341865780026e-02,0.000000000000000000e+00
2.379943717443671475e-02,0.000000000000000000e+00
8.353668449307219759e-03,1.000000000000000000e+00
4.470793021036428838e-01,1.000000000000000000e+00
1.835757994175118146e-01,0.000000000000000000e+00
3.099676196667360342e-02,0.000000000000000000e+00
1.271780088947621623e-01,0.000000000000000000e+00
5.768599106959884093e-01,1.000000000000000000e+00
6.861849113730552618e-01,1.000000000000000000e+00
1.437820925375244384e-02,0.000000000000000000e+00
9.436373456477700761e-02,0.000000000000000000e+00
-1.623308450039422091e-01,0.000000000000000000e+00
-7.219598751414603444e-02,0.000000000000000000e+00
4.240556664722433533e-02,0.000000000000000000e+00
-1.434973284731394039e-03,0.000000000000000000e+00
1.558151218630652035e-01,0.000000000000000000e+00
-4.339214017875842044e-02,0.000000000000000000e+00
1.444206466228214192e-01,0.000000000000000000e+00
2.199688936720607668e-01,1.000000000000000000e+00
1.043471811654944903e-01,0.000000000000000000e+00
2.578300852267073964e-02,0.000000000000000000e+00
1.115269173365447397e-01,0.000000000000000000e+00
4.982494920562229312e-01,1.000000000000000000e+00
5.803940261081548257e-01,1.000000000000000000e+00
6.799942352639480603e-02,0.000000000000000000e+00
3.209531572778889230e-01,1.000000000000000000e+00
2.997938293487877395e-02,0.000000000000000000e+00
5.095744238869899696e-03,0.000000000000000000e+00
5.930638069089819719e-01,1.000000000000000000e+00
2.031247781620119375e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
-1.663922174979215116e-02,0.000000000000000000e+00
9.169821130918417995e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
3.195040435682768021e-02,1.000000000000000000e+00
4.934649431533606467e-01,1.000000000000000000e+00
2.197668944823964743e-01,1.000000000000000000e+00
-2.639515139950332143e-02,0.000000000000000000e+00
8.045064707640928181e-02,0.000000000000000000e+00
1.327372448508251923e-01,0.000000000000000000e+00
5.849954874579469388e-01,1.000000000000000000e+00
3.386477752622066295e-01,1.000000000000000000e+00
6.707294960631048353e-01,1.000000000000000000e+00
5.643046790071738483e-01,1.000000000000000000e+00
4.498361498535880963e-04,0.000000000000000000e+00
5.865705081435191870e-01,1.000000000000000000e+00
5.081640731327687760e-03,0.000000000000000000e+00
1.115961819387768783e-01,0.000000000000000000e+00
2.131162699575798181e-01,1.000000000000000000e+00
-4.699832083594632226e-02,0.000000000000000000e+00
3.710501642629230878e-01,1.000000000000000000e+00
8.094519400873260162e-01,1.000000000000000000e+00
-2.107035889665126015e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
5.640487114456412682e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
1.782051503767937140e-01,0.000000000000000000e+00
-9.410023291603623885e-02,0.000000000000000000e+00
3.037235513334440862e-01,1.000000000000000000e+00
5.688227438607426079e-01,1.000000000000000000e+00
8.960599602366237093e-02,0.000000000000000000e+00
5.679279614243214480e-01,1.000000000000000000e+00
8.426613932595169998e-02,0.000000000000000000e+00
4.167983602956252392e-02,0.000000000000000000e+00
-1.332314648966237414e-01,0.000000000000000000e+00
4.152009700834690675e-01,1.000000000000000000e+00
4.524407673355281267e-01,1.000000000000000000e+00
3.078485578517240473e-01,1.000000000000000000e+00
4.365497652934126616e-01,1.000000000000000000e+00
1.178624563496134953e-01,0.000000000000000000e+00
6.475650106861976507e-01,1.000000000000000000e+00
6.402922852802269693e-01,1.000000000000000000e+00
2.718201329501443442e-01,1.000000000000000000e+00
1.653844614615727626e-01,0.000000000000000000e+00
5.396035641836873648e-02,0.000000000000000000e+00
1.013550645796026523e-01,0.000000000000000000e+00
4.275008854458511171e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
3.504440542187404750e-01,1.000000000000000000e+00
6.053495857740687214e-02,0.000000000000000000e+00
2.811843715686350720e-01,1.000000000000000000e+00
4.123437999327713571e-02,0.000000000000000000e+00
-1.896399901604815764e-03,0.000000000000000000e+00
-4.011854090317870658e-02,0.000000000000000000e+00
-8.686453955934690663e-02,0.000000000000000000e+00
-5.128339506547496124e-02,0.000000000000000000e+00
2.153562036286252313e-01,0.000000000000000000e+00
3.353354903009166388e-01,1.000000000000000000e+00
2.202046458607849755e-01,0.000000000000000000e+00
5.476670004332240271e-01,1.000000000000000000e+00
2.000241131545770767e-01,0.000000000000000000e+00
3.519295219000436736e-01,1.000000000000000000e+00
6.434292213411026140e-02,0.000000000000000000e+00
2.305465945735805933e-02,1.000000000000000000e+00
6.540083396737658150e-01,1.000000000000000000e+00
1.247856342117892869e-01,0.000000000000000000e+00
1.452692261964600995e-01,0.000000000000000000e+00
-2.564444700319554529e-02,0.000000000000000000e+00
-1.572318068800071869e-02,0.000000000000000000e+00
8.695331619730033434e-01,1.000000000000000000e+00
4.640567461764734669e-01,1.000000000000000000e+00
5.812268607176886981e-01,1.000000000000000000e+00
-6.688506982645053313e-03,0.000000000000000000e+00
1.796723929896240080e-01,0.000000000000000000e+00
2.804704011928095819e-01,1.000000000000000000e+00
6.479221088429351072e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
3.242380422962564679e-01,1.000000000000000000e+00
-3.094124289055319357e-03,0.000000000000000000e+00
6.479501213083916911e-01,1.000000000000000000e+00
4.537842111051184624e-01,1.000000000000000000e+00
5.989436688474779336e-02,0.000000000000000000e+00
3.163482545412994451e-01,1.000000000000000000e+00
5.857144260867669372e-01,1.000000000000000000e+00
7.374270960339980308e-01,1.000000000000000000e+00
