category,variant,far,frr,tar,delta_far_vs_baseline,delta_frr_vs_baseline
baseline,baseline,0.12,0.12,0.88,0.0,0.0
unknown_users,+100 unknown users,0.13,,,0.01,
luminance,quadratic,0.124,0.136,0.864,0.004,0.016
luminance,linear x0.5,0.132,0.112,0.888,0.012,-0.008
luminance,linear x0.6,0.152,0.12,0.88,0.032,0.0
luminance,linear x0.75,0.14,0.116,0.884,0.02,-0.004
luminance,linear x1.33,0.108,0.104,0.896,-0.012,-0.016
luminance,linear x1.5,0.124,0.136,0.864,0.004,0.016
luminance,offset -100,0.116,0.196,0.804,-0.004,0.076
luminance,offset -20,0.116,0.112,0.888,-0.004,-0.008
luminance,offset -10,0.124,0.108,0.892,0.004,-0.012
luminance,offset +30,0.116,0.112,0.888,-0.004,-0.008
noise,50-80dB,0.1141,0.0993,0.9007,-0.0059,-0.0207
noise,40-50dB,0.1275,0.0861,0.9139,0.0075,-0.0339
noise,30-40dB,0.1275,0.0993,0.9007,0.0075,-0.0207
noise,20-30dB,0.1544,0.0993,0.9007,0.0344,-0.0207
noise,10-20dB,0.1544,0.1589,0.8411,0.0344,0.0389
jpeg,q=95,0.116,0.116,0.884,-0.004,-0.004
jpeg,q=75,0.12,0.12,0.88,0.0,0.0
jpeg,q=50,0.144,0.128,0.872,0.024,0.008
jpeg,q=35,0.128,0.12,0.88,0.008,0.0
jpeg,q=20,0.144,0.112,0.888,0.024,-0.008
