image_name,image_path,identity,split,identity_type
094456.jpg,img_align_celeba/094456.jpg,8,enrollment,enrolled
089454.jpg,img_align_celeba/089454.jpg,8,genuine_test,enrolled
061852.jpg,img_align_celeba/061852.jpg,8,genuine_test,enrolled
160984.jpg,img_align_celeba/160984.jpg,8,genuine_test,enrolled
108789.jpg,img_align_celeba/108789.jpg,8,impostor_pool,enrolled
041283.jpg,img_align_celeba/041283.jpg,8,impostor_pool,enrolled
039238.jpg,img_align_celeba/039238.jpg,8,impostor_pool,enrolled
078965.jpg,img_align_celeba/078965.jpg,8,impostor_pool,enrolled
094177.jpg,img_align_celeba/094177.jpg,8,impostor_pool,enrolled
134907.jpg,img_align_celeba/134907.jpg,8,impostor_pool,enrolled
080188.jpg,img_align_celeba/080188.jpg,8,impostor_pool,enrolled
100773.jpg,img_align_celeba/100773.jpg,8,impostor_pool,enrolled
011578.jpg,img_align_celeba/011578.jpg,8,impostor_pool,enrolled
092361.jpg,img_align_celeba/092361.jpg,8,impostor_pool,enrolled
137740.jpg,img_align_celeba/137740.jpg,8,impostor_pool,enrolled
092216.jpg,img_align_celeba/092216.jpg,8,impostor_pool,enrolled
025789.jpg,img_align_celeba/025789.jpg,8,impostor_pool,enrolled
098549.jpg,img_align_celeba/098549.jpg,8,impostor_pool,enrolled
157894.jpg,img_align_celeba/157894.jpg,8,impostor_pool,enrolled
033292.jpg,img_align_celeba/033292.jpg,8,impostor_pool,enrolled
121279.jpg,img_align_celeba/121279.jpg,8,impostor_pool,enrolled
043362.jpg,img_align_celeba/043362.jpg,8,impostor_pool,enrolled
051799.jpg,img_align_celeba/051799.jpg,8,impostor_pool,enrolled
003089.jpg,img_align_celeba/003089.jpg,8,impostor_pool,enrolled
031949.jpg,img_align_celeba/031949.jpg,8,impostor_pool,enrolled
121009.jpg,img_align_celeba/121009.jpg,8,impostor_pool,enrolled
163345.jpg,img_align_celeba/163345.jpg,190,enrollment,enrolled
178718.jpg,img_align_celeba/178718.jpg,190,genuine_test,enrolled
172058.jpg,img_align_celeba/172058.jpg,190,genuine_test,enrolled
166478.jpg,img_align_celeba/166478.jpg,190,genuine_test,enrolled
178123.jpg,img_align_celeba/178123.jpg,190,impostor_pool,enrolled
175000.jpg,img_align_celeba/175000.jpg,190,impostor_pool,enrolled
175087.jpg,img_align_celeba/175087.jpg,190,impostor_pool,enrolled
181731.jpg,img_align_celeba/181731.jpg,190,impostor_pool,enrolled
177735.jpg,img_align_celeba/177735.jpg,190,impostor_pool,enrolled
170685.jpg,img_align_celeba/170685.jpg,190,impostor_pool,enrolled
171631.jpg,img_align_celeba/171631.jpg,190,impostor_pool,enrolled
180809.jpg,img_align_celeba/180809.jpg,190,impostor_pool,enrolled
173366.jpg,img_align_celeba/173366.jpg,190,impostor_pool,enrolled
177578.jpg,img_align_celeba/177578.jpg,190,impostor_pool,enrolled
162991.jpg,img_align_celeba/162991.jpg,190,impostor_pool,enrolled
163527.jpg,img_align_celeba/163527.jpg,190,impostor_pool,enrolled
178570.jpg,img_align_celeba/178570.jpg,190,impostor_pool,enrolled
165906.jpg,img_align_celeba/165906.jpg,190,impostor_pool,enrolled
165258.jpg,img_align_celeba/165258.jpg,190,impostor_pool,enrolled
170529.jpg,img_align_celeba/170529.jpg,190,impostor_pool,enrolled
171574.jpg,img_align_celeba/171574.jpg,190,impostor_pool,enrolled
172138.jpg,img_align_celeba/172138.jpg,190,impostor_pool,enrolled
180796.jpg,img_align_celeba/180796.jpg,190,impostor_pool,enrolled
165673.jpg,img_align_celeba/165673.jpg,190,impostor_pool,enrolled
180819.jpg,img_align_celeba/180819.jpg,190,impostor_pool,enrolled
162843.jpg,img_align_celeba/162843.jpg,190,impostor_pool,enrolled
180979.jpg,img_align_celeba/180979.jpg,190,impostor_pool,enrolled
000384.jpg,img_align_celeba/000384.jpg,310,enrollment,enrolled
160891.jpg,img_align_celeba/160891.jpg,310,genuine_test,enrolled
038186.jpg,img_align_celeba/038186.jpg,310,genuine_test,enrolled
083498.jpg,img_align_celeba/083498.jpg,310,impostor_pool,enrolled
069191.jpg,img_align_celeba/069191.jpg,310,impostor_pool,enrolled
083754.jpg,img_align_celeba/083754.jpg,310,impostor_pool,enrolled
155643.jpg,img_align_celeba/155643.jpg,310,impostor_pool,enrolled
158983.jpg,img_align_celeba/158983.jpg,310,impostor_pool,enrolled
133397.jpg,img_align_celeba/133397.jpg,310,impostor_pool,enrolled
131034.jpg,img_align_celeba/131034.jpg,310,impostor_pool,enrolled
136280.jpg,img_align_celeba/136280.jpg,310,impostor_pool,enrolled
031610.jpg,img_align_celeba/031610.jpg,310,impostor_pool,enrolled
115638.jpg,img_align_celeba/115638.jpg,310,impostor_pool,enrolled
029303.jpg,img_align_celeba/029303.jpg,310,impostor_pool,enrolled
094178.jpg,img_align_celeba/094178.jpg,310,impostor_pool,enrolled
009101.jpg,img_align_celeba/009101.jpg,310,impostor_pool,enrolled
024519.jpg,img_align_celeba/024519.jpg,310,impostor_pool,enrolled
059246.jpg,img_align_celeba/059246.jpg,310,impostor_pool,enrolled
109027.jpg,img_align_celeba/109027.jpg,310,impostor_pool,enrolled
020805.jpg,img_align_celeba/020805.jpg,494,enrollment,enrolled
082401.jpg,img_align_celeba/082401.jpg,494,genuine_test,enrolled
012362.jpg,img_align_celeba/012362.jpg,494,genuine_test,enrolled
145865.jpg,img_align_celeba/145865.jpg,494,impostor_pool,enrolled
148294.jpg,img_align_celeba/148294.jpg,494,impostor_pool,enrolled
093443.jpg,img_align_celeba/093443.jpg,494,impostor_pool,enrolled
039410.jpg,img_align_celeba/039410.jpg,494,impostor_pool,enrolled
088544.jpg,img_align_celeba/088544.jpg,494,impostor_pool,enrolled
005338.jpg,img_align_celeba/005338.jpg,494,impostor_pool,enrolled
094803.jpg,img_align_celeba/094803.jpg,494,impostor_pool,enrolled
020712.jpg,img_align_celeba/020712.jpg,494,impostor_pool,enrolled
090612.jpg,img_align_celeba/090612.jpg,494,impostor_pool,enrolled
086510.jpg,img_align_celeba/086510.jpg,494,impostor_pool,enrolled
085228.jpg,img_align_celeba/085228.jpg,494,impostor_pool,enrolled
154541.jpg,img_align_celeba/154541.jpg,494,impostor_pool,enrolled
156288.jpg,img_align_celeba/156288.jpg,494,impostor_pool,enrolled
086573.jpg,img_align_celeba/086573.jpg,494,impostor_pool,enrolled
088962.jpg,img_align_celeba/088962.jpg,494,impostor_pool,enrolled
150975.jpg,img_align_celeba/150975.jpg,494,impostor_pool,enrolled
042410.jpg,img_align_celeba/042410.jpg,494,impostor_pool,enrolled
093508.jpg,img_align_celeba/093508.jpg,494,impostor_pool,enrolled
022580.jpg,img_align_celeba/022580.jpg,494,impostor_pool,enrolled
149787.jpg,img_align_celeba/149787.jpg,494,impostor_pool,enrolled
117624.jpg,img_align_celeba/117624.jpg,494,impostor_pool,enrolled
013854.jpg,img_align_celeba/013854.jpg,494,impostor_pool,enrolled
119102.jpg,img_align_celeba/119102.jpg,494,impostor_pool,enrolled
156991.jpg,img_align_celeba/156991.jpg,494,impostor_pool,enrolled
135159.jpg,img_align_celeba/135159.jpg,494,impostor_pool,enrolled
060910.jpg,img_align_celeba/060910.jpg,494,impostor_pool,enrolled
121113.jpg,img_align_celeba/121113.jpg,494,impostor_pool,enrolled
042893.jpg,img_align_celeba/042893.jpg,503,enrollment,enrolled
032181.jpg,img_align_celeba/032181.jpg,503,genuine_test,enrolled
001857.jpg,img_align_celeba/001857.jpg,503,genuine_test,enrolled
061232.jpg,img_align_celeba/061232.jpg,503,impostor_pool,enrolled
108763.jpg,img_align_celeba/108763.jpg,503,impostor_pool,enrolled
134714.jpg,img_align_celeba/134714.jpg,503,impostor_pool,enrolled
138209.jpg,img_align_celeba/138209.jpg,503,impostor_pool,enrolled
050239.jpg,img_align_celeba/050239.jpg,503,impostor_pool,enrolled
069706.jpg,img_align_celeba/069706.jpg,503,impostor_pool,enrolled
148189.jpg,img_align_celeba/148189.jpg,503,impostor_pool,enrolled
041921.jpg,img_align_celeba/041921.jpg,644,enrollment,enrolled
150873.jpg,img_align_celeba/150873.jpg,644,genuine_test,enrolled
088035.jpg,img_align_celeba/088035.jpg,644,genuine_test,enrolled
090465.jpg,img_align_celeba/090465.jpg,644,genuine_test,enrolled
016347.jpg,img_align_celeba/016347.jpg,644,impostor_pool,enrolled
058817.jpg,img_align_celeba/058817.jpg,644,impostor_pool,enrolled
074854.jpg,img_align_celeba/074854.jpg,644,impostor_pool,enrolled
145712.jpg,img_align_celeba/145712.jpg,644,impostor_pool,enrolled
108246.jpg,img_align_celeba/108246.jpg,644,impostor_pool,enrolled
135117.jpg,img_align_celeba/135117.jpg,644,impostor_pool,enrolled
001642.jpg,img_align_celeba/001642.jpg,644,impostor_pool,enrolled
004284.jpg,img_align_celeba/004284.jpg,644,impostor_pool,enrolled
125886.jpg,img_align_celeba/125886.jpg,644,impostor_pool,enrolled
149321.jpg,img_align_celeba/149321.jpg,644,impostor_pool,enrolled
014470.jpg,img_align_celeba/014470.jpg,644,impostor_pool,enrolled
153869.jpg,img_align_celeba/153869.jpg,644,impostor_pool,enrolled
094138.jpg,img_align_celeba/094138.jpg,644,impostor_pool,enrolled
104733.jpg,img_align_celeba/104733.jpg,644,impostor_pool,enrolled
106981.jpg,img_align_celeba/106981.jpg,644,impostor_pool,enrolled
141027.jpg,img_align_celeba/141027.jpg,644,impostor_pool,enrolled
086203.jpg,img_align_celeba/086203.jpg,644,impostor_pool,enrolled
152797.jpg,img_align_celeba/152797.jpg,644,impostor_pool,enrolled
140917.jpg,img_align_celeba/140917.jpg,644,impostor_pool,enrolled
077146.jpg,img_align_celeba/077146.jpg,644,impostor_pool,enrolled
182603.jpg,img_align_celeba/182603.jpg,913,enrollment,enrolled
170882.jpg,img_align_celeba/170882.jpg,913,genuine_test,enrolled
175292.jpg,img_align_celeba/175292.jpg,913,genuine_test,enrolled
171345.jpg,img_align_celeba/171345.jpg,913,genuine_test,enrolled
177293.jpg,img_align_celeba/177293.jpg,913,impostor_pool,enrolled
176990.jpg,img_align_celeba/176990.jpg,913,impostor_pool,enrolled
180951.jpg,img_align_celeba/180951.jpg,913,impostor_pool,enrolled
170218.jpg,img_align_celeba/170218.jpg,913,impostor_pool,enrolled
166195.jpg,img_align_celeba/166195.jpg,913,impostor_pool,enrolled
169061.jpg,img_align_celeba/169061.jpg,913,impostor_pool,enrolled
168488.jpg,img_align_celeba/168488.jpg,913,impostor_pool,enrolled
166159.jpg,img_align_celeba/166159.jpg,913,impostor_pool,enrolled
168624.jpg,img_align_celeba/168624.jpg,913,impostor_pool,enrolled
171054.jpg,img_align_celeba/171054.jpg,913,impostor_pool,enrolled
172022.jpg,img_align_celeba/172022.jpg,913,impostor_pool,enrolled
181250.jpg,img_align_celeba/181250.jpg,913,impostor_pool,enrolled
168123.jpg,img_align_celeba/168123.jpg,913,impostor_pool,enrolled
164652.jpg,img_align_celeba/164652.jpg,913,impostor_pool,enrolled
180272.jpg,img_align_celeba/180272.jpg,913,impostor_pool,enrolled
170259.jpg,img_align_celeba/170259.jpg,913,impostor_pool,enrolled
178976.jpg,img_align_celeba/178976.jpg,913,impostor_pool,enrolled
015716.jpg,img_align_celeba/015716.jpg,1104,enrollment,enrolled
142442.jpg,img_align_celeba/142442.jpg,1104,genuine_test,enrolled
158538.jpg,img_align_celeba/158538.jpg,1104,genuine_test,enrolled
002295.jpg,img_align_celeba/002295.jpg,1104,impostor_pool,enrolled
103456.jpg,img_align_celeba/103456.jpg,1104,impostor_pool,enrolled
008237.jpg,img_align_celeba/008237.jpg,1104,impostor_pool,enrolled
118421.jpg,img_align_celeba/118421.jpg,1104,impostor_pool,enrolled
158554.jpg,img_align_celeba/158554.jpg,1104,impostor_pool,enrolled
063991.jpg,img_align_celeba/063991.jpg,1104,impostor_pool,enrolled
127262.jpg,img_align_celeba/127262.jpg,1104,impostor_pool,enrolled
095455.jpg,img_align_celeba/095455.jpg,1104,impostor_pool,enrolled
002275.jpg,img_align_celeba/002275.jpg,1104,impostor_pool,enrolled
122381.jpg,img_align_celeba/122381.jpg,1104,impostor_pool,enrolled
110786.jpg,img_align_celeba/110786.jpg,1104,impostor_pool,enrolled
